volume,position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y_danceability,y_energy,y_loudness,y_speechiness,y_acousticness,y_instrumentalness,y_liveness,y_valence,y_tempo
33,10,0.843,0.774,-8.919,0.0574,0.00327,0.816,0.309,0.758,121.99,0.722,0.585,-9.462,0.0434,0.00406,0.748,0.525,0.331,121.996
33,11,0.722,0.585,-9.462,0.0434,0.00406,0.748,0.525,0.331,121.996,0.769,0.409,-12.925,0.0462,0.05,0.834,0.402,0.151,123.004
33,12,0.769,0.409,-12.925,0.0462,0.05,0.834,0.402,0.151,123.004,0.771,0.862,-9.988,0.0352,0.000333,0.82,0.109,0.576,124.999
32,1,0.107,0.143,-26.875,0.0405,0.984,0.972,0.831,0.127,185.123,0.755,0.732,-10.38,0.0446,0.0387,0.866,0.106,0.331,121.001
32,2,0.755,0.732,-10.38,0.0446,0.0387,0.866,0.106,0.331,121.001,0.362,0.236,-11.081,0.0468,0.706,0.139,0.109,0.0434,88.421
32,3,0.362,0.236,-11.081,0.0468,0.706,0.139,0.109,0.0434,88.421,0.609,0.526,-9.445,0.0603,0.607,0.883,0.0675,0.173,140.026
32,4,0.609,0.526,-9.445,0.0603,0.607,0.883,0.0675,0.173,140.026,0.738,0.512,-12.924,0.0668,0.257,0.879,0.0824,0.0867,123.01
32,5,0.738,0.512,-12.924,0.0668,0.257,0.879,0.0824,0.0867,123.01,0.371,0.381,-11.14,0.0656,0.677,0.73,0.243,0.308,82.147
32,6,0.371,0.381,-11.14,0.0656,0.677,0.73,0.243,0.308,82.147,0.784,0.401,-12.335,0.0766,0.328,0.344,0.134,0.194,119.025
32,7,0.784,0.401,-12.335,0.0766,0.328,0.344,0.134,0.194,119.025,0.769,0.803,-8.463,0.14,0.0119,0.746,0.0972,0.732,119.999
32,8,0.769,0.803,-8.463,0.14,0.0119,0.746,0.0972,0.732,119.999,0.766,0.732,-9.415,0.0476,0.22,0.501,0.0346,0.814,116.991
32,9,0.766,0.732,-9.415,0.0476,0.22,0.501,0.0346,0.814,116.991,0.792,0.609,-8.478,0.135,0.0915,0.0886,0.238,0.685,124.014
32,10,0.792,0.609,-8.478,0.135,0.0915,0.0886,0.238,0.685,124.014,0.659,0.691,-9.419,0.0339,0.00049,0.936,0.0748,0.132,115.011
32,11,0.659,0.691,-9.419,0.0339,0.00049,0.936,0.0748,0.132,115.011,0.611,0.571,-9.441,0.0317,0.0195,0.815,0.0988,0.039,123.0
32,12,0.611,0.571,-9.441,0.0317,0.0195,0.815,0.0988,0.039,123.0,0.822,0.728,-7.04,0.0615,0.134,0.925,0.0954,0.286,121.994
31,1,0.401,0.431,-17.681,0.0417,0.779,0.886,0.115,0.193,158.878,0.811,0.56,-11.599,0.106,0.331,0.909,0.128,0.354,117.999
31,2,0.811,0.56,-11.599,0.106,0.331,0.909,0.128,0.354,117.999,0.541,0.673,-9.246,0.042,0.0551,0.148,0.123,0.219,108.98
31,3,0.541,0.673,-9.246,0.042,0.0551,0.148,0.123,0.219,108.98,0.608,0.736,-9.182,0.0476,0.0389,0.398,0.346,0.0391,126.028
31,4,0.608,0.736,-9.182,0.0476,0.0389,0.398,0.346,0.0391,126.028,0.864,0.429,-11.213,0.0704,0.155,0.549,0.0828,0.439,112.025
31,5,0.864,0.429,-11.213,0.0704,0.155,0.549,0.0828,0.439,112.025,0.65,0.418,-12.363,0.0451,0.467,0.000108,0.101,0.265,127.206
31,6,0.65,0.418,-12.363,0.0451,0.467,0.000108,0.101,0.265,127.206,0.836,0.586,-9.64,0.049,0.00878,0.859,0.0763,0.876,119.999
31,7,0.836,0.586,-9.64,0.049,0.00878,0.859,0.0763,0.876,119.999,0.722,0.759,-7.38,0.0599,0.335,0.0453,0.106,0.268,128.002
31,8,0.722,0.759,-7.38,0.0599,0.335,0.0453,0.106,0.268,128.002,0.877,0.69,-9.666,0.133,0.00998,0.825,0.0873,0.747,124.041
31,9,0.877,0.69,-9.666,0.133,0.00998,0.825,0.0873,0.747,124.041,0.64,0.658,-10.302,0.0601,0.00936,0.913,0.269,0.122,123.476
31,10,0.64,0.658,-10.302,0.0601,0.00936,0.913,0.269,0.122,123.476,0.768,0.569,-7.495,0.0618,0.446,0.624,0.0521,0.476,128.991
31,11,0.768,0.569,-7.495,0.0618,0.446,0.624,0.0521,0.476,128.991,0.682,0.63,-12.679,0.042,0.334,0.907,0.159,0.209,110.001
31,12,0.682,0.63,-12.679,0.042,0.334,0.907,0.159,0.209,110.001,0.824,0.818,-6.198,0.0463,0.0194,0.903,0.067,0.463,126.012
30,1,0.289,0.343,-16.387,0.0377,0.968,0.917,0.385,0.0675,90.074,0.774,0.504,-14.657,0.048,0.502,0.73,0.0931,0.161,116.014
30,2,0.774,0.504,-14.657,0.048,0.502,0.73,0.0931,0.161,116.014,0.617,0.439,-13.511,0.0375,0.481,0.928,0.916,0.0796,117.984
30,3,0.617,0.439,-13.511,0.0375,0.481,0.928,0.916,0.0796,117.984,0.34,0.683,-10.721,0.0438,0.848,0.932,0.151,0.169,124.993
30,4,0.34,0.683,-10.721,0.0438,0.848,0.932,0.151,0.169,124.993,0.875,0.386,-11.611,0.115,0.102,0.000353,0.1,0.581,107.012
30,5,0.875,0.386,-11.611,0.115,0.102,0.000353,0.1,0.581,107.012,0.706,0.64,-12.578,0.0416,0.103,0.923,0.0915,0.575,121.024
30,6,0.706,0.64,-12.578,0.0416,0.103,0.923,0.0915,0.575,121.024,0.818,0.411,-8.204,0.055,0.178,0.0526,0.1,0.794,119.012
30,7,0.818,0.411,-8.204,0.055,0.178,0.0526,0.1,0.794,119.012,0.759,0.538,-12.646,0.0566,0.00514,0.12,0.369,0.619,117.002
30,8,0.759,0.538,-12.646,0.0566,0.00514,0.12,0.369,0.619,117.002,0.905,0.723,-11.913,0.0624,0.000162,0.9,0.0414,0.963,118.003
30,9,0.905,0.723,-11.913,0.0624,0.000162,0.9,0.0414,0.963,118.003,0.67,0.939,-7.216,0.0418,0.0314,0.791,0.0841,0.388,122.012
30,10,0.67,0.939,-7.216,0.0418,0.0314,0.791,0.0841,0.388,122.012,0.53,0.727,-9.957,0.049,0.153,0.0464,0.0818,0.039,123.969
30,11,0.53,0.727,-9.957,0.049,0.153,0.0464,0.0818,0.039,123.969,0.692,0.712,-9.676,0.037,0.002,0.813,0.0876,0.13,122.01
30,12,0.692,0.712,-9.676,0.037,0.002,0.813,0.0876,0.13,122.01,0.756,0.723,-8.14,0.0624,0.474,0.933,0.113,0.128,119.991
29,1,0.52,0.304,-15.255,0.0284,0.816,0.366,0.0948,0.0392,103.981,0.34,0.439,-12.591,0.0371,0.354,0.954,0.232,0.0509,132.004
29,2,0.34,0.439,-12.591,0.0371,0.354,0.954,0.232,0.0509,132.004,0.331,0.502,-10.223,0.0351,0.142,0.914,0.1,0.336,107.018
29,3,0.331,0.502,-10.223,0.0351,0.142,0.914,0.1,0.336,107.018,0.518,0.439,-9.367,0.0295,0.77,0.891,0.11,0.283,93.003
29,4,0.518,0.439,-9.367,0.0295,0.77,0.891,0.11,0.283,93.003,0.632,0.559,-8.697,0.0382,0.237,0.43,0.0934,0.218,140.058
29,5,0.632,0.559,-8.697,0.0382,0.237,0.43,0.0934,0.218,140.058,0.523,0.452,-7.05,0.0337,0.39,0.0103,0.117,0.194,81.958
29,6,0.523,0.452,-7.05,0.0337,0.39,0.0103,0.117,0.194,81.958,0.768,0.429,-9.401,0.0955,0.875,0.419,0.115,0.415,104.026
29,7,0.768,0.429,-9.401,0.0955,0.875,0.419,0.115,0.415,104.026,0.876,0.758,-7.493,0.0829,0.0225,0.265,0.0274,0.91,118.014
29,8,0.876,0.758,-7.493,0.0829,0.0225,0.265,0.0274,0.91,118.014,0.583,0.603,-10.791,0.0286,0.169,0.843,0.11,0.482,150.076
29,9,0.583,0.603,-10.791,0.0286,0.169,0.843,0.11,0.482,150.076,0.515,0.877,-7.628,0.228,0.00169,0.603,0.511,0.558,173.964
29,10,0.515,0.877,-7.628,0.228,0.00169,0.603,0.511,0.558,173.964,0.533,0.839,-5.437,0.0567,0.699,0.000705,0.231,0.347,89.962
29,11,0.533,0.839,-5.437,0.0567,0.699,0.000705,0.231,0.347,89.962,0.583,0.626,-9.19,0.0567,0.651,0.287,0.112,0.0617,184.974
29,12,0.583,0.626,-9.19,0.0567,0.651,0.287,0.112,0.0617,184.974,0.734,0.796,-8.058,0.0891,0.232,0.347,0.0867,0.35,106.982
28,1,0.613,0.493,-14.337,0.027,0.914,0.906,0.0842,0.329,115.008,0.36,0.41,-16.215,0.0374,0.947,0.854,0.104,0.0352,89.904
28,2,0.36,0.41,-16.215,0.0374,0.947,0.854,0.104,0.0352,89.904,0.693,0.67,-8.863,0.0425,0.388,0.772,0.152,0.725,145.01
28,3,0.693,0.67,-8.863,0.0425,0.388,0.772,0.152,0.725,145.01,0.457,0.477,-9.323,0.102,0.281,0.000822,0.0914,0.627,144.855
