volume,position,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4,6,King Bromeliad,Floating Points,0.896,0.471,1,-10.391,1,0.0766,0.00477,0.874,0.0824,0.282,114.936,audio_features,6f1S3mOpU4TeoTZOJCmRXl,spotify:track:6f1S3mOpU4TeoTZOJCmRXl,https://api.spotify.com/v1/tracks/6f1S3mOpU4TeoTZOJCmRXl,https://api.spotify.com/v1/audio-analysis/6f1S3mOpU4TeoTZOJCmRXl,532499,4
4,7,York - Original Mix,Christian Löffler,0.696,0.634,11,-12.063,0,0.0403,0.157,0.887,0.129,0.0359,118.035,audio_features,3eJBKLhpOauQJlgoOSPErD,spotify:track:3eJBKLhpOauQJlgoOSPErD,https://api.spotify.com/v1/tracks/3eJBKLhpOauQJlgoOSPErD,https://api.spotify.com/v1/audio-analysis/3eJBKLhpOauQJlgoOSPErD,476675,4
4,8,Corners of the Earth (feat. RY X),ODESZA,0.354,0.705,6,-7.745,0,0.0411,0.16,0.00385,0.0882,0.0399,119.992,audio_features,6kUlA8bKsMT01v4CYnZIMC,spotify:track:6kUlA8bKsMT01v4CYnZIMC,https://api.spotify.com/v1/tracks/6kUlA8bKsMT01v4CYnZIMC,https://api.spotify.com/v1/audio-analysis/6kUlA8bKsMT01v4CYnZIMC,305349,4
4,9,Propagation,Com Truise,0.563,0.669,6,-8.474,1,0.0414,0.0434,0.731,0.125,0.307,178.034,audio_features,3DOZrIy0OP3wtyDbJAALcu,spotify:track:3DOZrIy0OP3wtyDbJAALcu,https://api.spotify.com/v1/tracks/3DOZrIy0OP3wtyDbJAALcu,https://api.spotify.com/v1/audio-analysis/3DOZrIy0OP3wtyDbJAALcu,250906,4
4,10,Teenage Crime,Adrian Lux,0.647,0.843,2,-4.801,1,0.0364,0.0192,0.686,0.104,0.328,128.015,audio_features,46LTPfvrxlgNLyIGBup4O2,spotify:track:46LTPfvrxlgNLyIGBup4O2,https://api.spotify.com/v1/tracks/46LTPfvrxlgNLyIGBup4O2,https://api.spotify.com/v1/audio-analysis/46LTPfvrxlgNLyIGBup4O2,168920,4
4,11,Next Planet - Original Mix,Cubicolor,0.786,0.784,10,-9.751,1,0.0309,0.0752,0.789,0.055,0.649,120.009,audio_features,28n5qafgNBbfkPeFH0taik,spotify:track:28n5qafgNBbfkPeFH0taik,https://api.spotify.com/v1/tracks/28n5qafgNBbfkPeFH0taik,https://api.spotify.com/v1/audio-analysis/28n5qafgNBbfkPeFH0taik,456597,4
4,12,Give Me,Ben Böhmer,0.758,0.539,4,-9.92,0,0.0589,0.18,0.911,0.0914,0.076,120.0,audio_features,5ZkMIeFkKTKhlX1Eaoug6n,spotify:track:5ZkMIeFkKTKhlX1Eaoug6n,https://api.spotify.com/v1/tracks/5ZkMIeFkKTKhlX1Eaoug6n,https://api.spotify.com/v1/audio-analysis/5ZkMIeFkKTKhlX1Eaoug6n,512500,4
4,13,Lullaby Horizon,Way Out West,0.661,0.789,0,-8.296,1,0.033,0.00023,0.942,0.0897,0.192,123.012,audio_features,1z1SFnjpLynHSFX0Ayt9nq,spotify:track:1z1SFnjpLynHSFX0Ayt9nq,https://api.spotify.com/v1/tracks/1z1SFnjpLynHSFX0Ayt9nq,https://api.spotify.com/v1/audio-analysis/1z1SFnjpLynHSFX0Ayt9nq,313484,4
4,14,Kolido,Dauwd,0.807,0.583,1,-10.547,1,0.0552,0.0343,0.877,0.433,0.0984,124.0,audio_features,3N3HpcVZGHKRz94fox04t1,spotify:track:3N3HpcVZGHKRz94fox04t1,https://api.spotify.com/v1/tracks/3N3HpcVZGHKRz94fox04t1,https://api.spotify.com/v1/audio-analysis/3N3HpcVZGHKRz94fox04t1,411003,4
4,15,Meridian,ODESZA,0.516,0.661,5,-6.174,0,0.0347,3.36e-05,0.256,0.572,0.0625,90.022,audio_features,7fYHn4HNgKS2aiW4xP03h0,spotify:track:7fYHn4HNgKS2aiW4xP03h0,https://api.spotify.com/v1/tracks/7fYHn4HNgKS2aiW4xP03h0,https://api.spotify.com/v1/audio-analysis/7fYHn4HNgKS2aiW4xP03h0,235861,4
3,1,Promises - Nils Frahm Version,The Presets,0.348,0.504,1,-14.229,1,0.0379,0.904,0.981,0.105,0.0624,92.213,audio_features,6yydMPHiC4LDSHFUwg394m,spotify:track:6yydMPHiC4LDSHFUwg394m,https://api.spotify.com/v1/tracks/6yydMPHiC4LDSHFUwg394m,https://api.spotify.com/v1/audio-analysis/6yydMPHiC4LDSHFUwg394m,250218,4
3,2,Aurora Boring Alias,King Creosote,0.399,0.259,4,-15.911,1,0.0312,0.936,0.00449,0.135,0.279,100.48,audio_features,49ckcYYbCXVhYmmsEdNRGs,spotify:track:49ckcYYbCXVhYmmsEdNRGs,https://api.spotify.com/v1/tracks/49ckcYYbCXVhYmmsEdNRGs,https://api.spotify.com/v1/audio-analysis/49ckcYYbCXVhYmmsEdNRGs,240533,4
3,3,For Now I Am Winter - Kiasmos Remix,Ólafur Arnalds,0.66,0.491,2,-10.939,0,0.0581,0.389,0.842,0.109,0.146,120.014,audio_features,3gAGxcXfIv0baujXvLOE5m,spotify:track:3gAGxcXfIv0baujXvLOE5m,https://api.spotify.com/v1/tracks/3gAGxcXfIv0baujXvLOE5m,https://api.spotify.com/v1/audio-analysis/3gAGxcXfIv0baujXvLOE5m,287196,4
3,4,Our Odyssey,Youandewan,0.706,0.524,2,-11.783,1,0.0363,0.0794,0.79,0.108,0.0796,123.987,audio_features,1zuoABMC5QPLjKPZLNPMoL,spotify:track:1zuoABMC5QPLjKPZLNPMoL,https://api.spotify.com/v1/tracks/1zuoABMC5QPLjKPZLNPMoL,https://api.spotify.com/v1/audio-analysis/1zuoABMC5QPLjKPZLNPMoL,470096,4
3,5,Harbour - Original Mix,Soundprank,0.535,0.865,1,-7.366,0,0.0418,0.032,0.734,0.296,0.192,83.994,audio_features,2eJTBg24OcjIQbld3libGX,spotify:track:2eJTBg24OcjIQbld3libGX,https://api.spotify.com/v1/tracks/2eJTBg24OcjIQbld3libGX,https://api.spotify.com/v1/audio-analysis/2eJTBg24OcjIQbld3libGX,308571,4
3,6,Spectre,Tycho,0.651,0.72,5,-7.278,0,0.0396,0.497,0.903,0.114,0.39,128.017,audio_features,1vdN00jfVssgwJBMwmSAoT,spotify:track:1vdN00jfVssgwJBMwmSAoT,https://api.spotify.com/v1/tracks/1vdN00jfVssgwJBMwmSAoT,https://api.spotify.com/v1/audio-analysis/1vdN00jfVssgwJBMwmSAoT,226912,4
3,7,Porcelain,Moby,0.515,0.613,0,-8.423,0,0.0305,0.00147,0.202,0.449,0.357,94.925,audio_features,1hEh8Hc9lBAFWUghHBsCel,spotify:track:1hEh8Hc9lBAFWUghHBsCel,https://api.spotify.com/v1/tracks/1hEh8Hc9lBAFWUghHBsCel,https://api.spotify.com/v1/audio-analysis/1hEh8Hc9lBAFWUghHBsCel,238920,4
3,8,Samurai,Bonobo,0.588,0.688,5,-9.028,0,0.0345,0.457,0.749,0.1,0.228,120.011,audio_features,7y5c6v35Hk1LnvppIPfIvm,spotify:track:7y5c6v35Hk1LnvppIPfIvm,https://api.spotify.com/v1/tracks/7y5c6v35Hk1LnvppIPfIvm,https://api.spotify.com/v1/audio-analysis/7y5c6v35Hk1LnvppIPfIvm,341594,4
3,9,Dollar (Let the Dollar Circulate) [Main],Steve Spacek,0.545,0.512,3,-9.195,0,0.0481,0.445,7.97e-06,0.0691,0.414,96.812,audio_features,2jDBemBIOSAT2RLESAQdvu,spotify:track:2jDBemBIOSAT2RLESAQdvu,https://api.spotify.com/v1/tracks/2jDBemBIOSAT2RLESAQdvu,https://api.spotify.com/v1/audio-analysis/2jDBemBIOSAT2RLESAQdvu,216426,4
3,10,The Void,Koelle,0.678,0.643,10,-9.363,0,0.038,0.0596,0.838,0.0937,0.287,114.972,audio_features,2JOYpIShg9829y8rYwdsu6,spotify:track:2JOYpIShg9829y8rYwdsu6,https://api.spotify.com/v1/tracks/2JOYpIShg9829y8rYwdsu6,https://api.spotify.com/v1/audio-analysis/2JOYpIShg9829y8rYwdsu6,294334,4
3,11,See (feat. Beacon),Tycho,0.669,0.576,9,-11.377,0,0.0341,0.0618,0.783,0.11,0.257,127.01,audio_features,08ewKsojLa4lHiNfHScXTK,spotify:track:08ewKsojLa4lHiNfHScXTK,https://api.spotify.com/v1/tracks/08ewKsojLa4lHiNfHScXTK,https://api.spotify.com/v1/audio-analysis/08ewKsojLa4lHiNfHScXTK,272349,4
